"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"ADAMTS19",1,0,0,0,6,0,0,0,0,7,7,7
"ADCY1",0,0,0,0,7,0,0,0,0,7,7,7
"ADCY10",0,0,0,0,7,0,0,0,0,7,7,7
"AKAP6",0,0,0,0,7,0,0,0,0,7,7,7
"ATF7IP",1,1,0,0,0,3,0,2,0,7,7,7
"ATP10B",0,0,0,0,6,1,0,0,0,7,7,7
"ATRNL1",0,0,0,0,6,0,0,1,0,7,7,7
"BCHE",2,1,0,0,4,0,0,0,0,7,7,7
"C12orf55",0,0,0,0,6,0,0,1,0,7,7,7
"C2CD3",0,0,0,0,6,1,0,0,0,7,7,7
"CELSR3",0,0,0,0,6,1,0,0,0,7,7,7
"CHD6",0,0,0,0,6,1,0,0,0,7,7,7
"COL4A6",0,0,0,0,5,0,0,2,0,7,7,7
"DCAF4L2",1,0,0,0,5,1,0,0,0,7,7,7
"DCC",0,0,0,0,6,1,0,0,0,7,7,7
"DLGAP2",0,0,0,0,7,0,0,0,0,7,7,7
"DNAH1",0,0,0,0,7,0,0,0,0,7,7,7
"DNAH11",0,0,0,0,7,0,0,0,0,7,7,7
"DNAH17",0,0,0,0,6,0,0,1,0,7,7,7
"DSG4",0,0,0,0,7,0,0,0,0,7,7,7
"F5",1,0,0,0,5,1,0,0,0,7,7,7
"FBXL7",0,0,0,0,7,0,0,0,0,7,7,7
"FLT4",1,0,0,0,5,1,0,0,0,7,7,7
"FN1",0,1,0,0,4,0,0,2,0,7,7,7
"FRMPD1",0,0,0,0,6,1,0,0,0,7,7,7
"GLI2",0,0,0,0,6,1,0,0,0,7,7,7
"GRID2",0,0,0,0,5,1,0,1,0,7,7,7
"GRM5",0,0,0,0,6,1,0,0,0,7,7,7
"HCFC1",0,0,0,0,7,0,0,0,0,7,7,7
"IGSF22",0,0,0,0,6,0,0,1,0,7,7,7
"IL1RAPL1",1,0,0,0,6,0,0,0,0,7,7,7
"IL1RL1",0,0,0,0,7,0,0,0,0,7,7,7
"ITGA4",0,1,0,0,6,0,0,0,0,7,7,7
"ITGAM",0,0,0,0,7,0,0,0,0,7,7,7
"KIAA1211",0,0,0,0,6,1,0,0,0,7,7,7
"KIF4A",0,0,0,0,7,0,0,0,0,7,7,7
"KRT3",0,0,0,0,6,1,0,0,0,7,7,7
"LAMA3",0,0,0,0,7,0,0,0,0,7,7,7
"LRP6",1,0,0,0,6,0,0,0,0,7,7,7
"MAN2A1",0,0,0,0,6,0,0,1,0,7,7,7
"MCF2",0,0,0,0,7,0,0,0,0,7,7,7
"MROH7",0,1,0,0,6,0,0,0,0,7,7,7
"MTMR8",0,0,0,0,7,0,0,0,0,7,7,7
"NCAN",0,0,0,0,6,1,0,0,0,7,7,7
